dh,mc,pq,rs
3.396614075,2.436388254,2.365296841,286.5384836
7.053160906,5.004328966,4.715846062,570.3112101
10.13044405,7.197736025,7.131738424,854.5434432
13.44501257,9.509305477,9.492491245,1140.320088
17.46730518,12.03776622,12.22085094,1426.088542
20.37711239,14.63459063,14.2438066,1710.967411
