dh,mc,pq,rs,,dh-pq/dh,mc-pq/mc,
0.742625952,4.179862022,0.483261108,20.49008703,,34.92536758,88.43834783,42.39961933
1.334379435,7.715092659,0.854640007,37.89218969,,35.9522498,88.92249199,44.33701837
2.138208866,10.21667504,1.200000048,56.57512071,,43.87825873,88.2544953,47.14593205
2.819718599,13.70774746,1.606160402,76.82418529,,43.0382733,88.2828276,47.83095461
3.237529993,17.13444042,1.940156221,96.91348513,,40.07294989,88.67686266,49.9513823
4.083427906,20.97012496,2.313826084,116.8469285,,43.33618378,88.96608347,50.49944304
