----Server----,,,
Handshake,ZKP,Transfer Time,Encrypt Time
0.297097682952881,0.518099784851074,0.0710315704345703,9.01222229003906E-05
0.270639896392822,0.310186147689819,0.0543262958526611,0.000227689743041992
0.160732269287109,0.311081886291504,0.132125616073608,0.000113725662231445
0.217365980148315,0.311034202575684,0.0819933414459229,0.00010228157043457
0.255347490310669,0.272891521453857,0.185240268707275,0.000264406204223633
0.311588287353516,0.428934812545776,0.159720182418823,0.00010228157043457
0.194637537002563,0.589179277420044,0.0866246223449707,0.000185728073120117
0.184223175048828,0.309289216995239,0.0927860736846924,8.58306884765625E-05
0.335046529769897,0.417176008224487,0.0904998779296875,0.00011754035949707
0.188577651977539,0.388932228088379,0.152595043182373,0.000107765197753906
,,,
0.241525650024414,0.385680508613586,0.110694289207459,0.000139737129211426
,,,
,,,
----Client----,,,
Handshake,ZKP,Transfer Time,Decrypt Time
0.427996158599854,0.627923011779785,0.165308952331543,0.0282819271087647
0.389235734939575,0.449419260025024,0.113314628601074,0.0283150672912598
0.600699424743652,0.427008390426636,0.16582465171814,0.0290670394897461
0.320472717285156,0.441398620605469,0.130389928817749,0.0270669460296631
0.379316329956055,0.446205139160156,0.236797571182251,0.0314385890960693
0.455275535583496,0.533594131469727,0.195458173751831,0.0330190658569336
0.295896053314209,0.694357872009277,0.124146461486816,0.0257835388183594
0.304888486862183,0.462721824645996,0.126936435699463,0.0257115364074707
0.404357671737671,0.512728691101074,0.187193870544434,0.0268392562866211
0.28900671005249,0.453370809555054,0.212206125259399,0.0304243564605713
,,,
0.386714482307434,0.50487277507782,0.16575767993927,0.0285947322845459
