Handshake,ZKP,Transfer Time,Decrypt Time
0.33635544776916504,0.6917853355407715,0.26430439949035645,0.03299856185913086
0.47332024574279785,0.5215716361999512,0.49620699882507324,0.03721022605895996
0.1694943904876709,0.4751708507537842,0.29781031608581543,0.03546285629272461
0.09322047233581543,0.4613759517669678,0.5912883281707764,0.037085533142089844
0.2126917839050293,0.6182072162628174,0.40360188484191895,0.0364992618560791
0.6333162784576416,0.9003112316131592,1.7067489624023438,0.035622596740722656
0.06368708610534668,0.5322558879852295,0.16123247146606445,0.03398895263671875
0.2373216152191162,0.44661808013916016,0.18845081329345703,0.033267974853515625
0.09351658821105957,0.5941057205200195,0.1943521499633789,0.03458523750305176
1.1796791553497314,0.5312433242797852,0.2521061897277832,0.033617496490478516
