Handshake,ZKP,Transfer Time,Encrypt Time
0.11078095436096191,0.5168688297271729,0.21780633926391602,0.0002892017364501953
0.022520065307617188,0.3750030994415283,0.30771803855895996,0.00010180473327636719
0.03496503829956055,0.18454432487487793,0.22108983993530273,0.00017952919006347656
0.017620563507080078,0.3036792278289795,0.5194194316864014,0.00011181831359863281
0.043511152267456055,0.4285154342651367,0.304384708404541,8.440017700195312e-05
0.20334696769714355,0.7731955051422119,1.665508508682251,0.00010609626770019531
0.01577448844909668,0.450336217880249,0.05686545372009277,9.274482727050781e-05
0.017560482025146484,0.2468883991241455,0.11023569107055664,8.034706115722656e-05
0.0168306827545166,0.476834774017334,0.16027021408081055,0.00010061264038085938
0.3772618770599365,0.21029400825500488,0.14792776107788086,0.0001239776611328125
