Handshake,ZKP,Transfer Time,Decrypt Time
0.27483224868774414,0.7688841819763184,0.29948949813842773,0.032508134841918945
0.06899118423461914,0.5550847053527832,0.1603531837463379,0.030460596084594727
0.09850692749023438,0.674537181854248,0.28241968154907227,0.03321337699890137
0.35448169708251953,0.49323391914367676,0.1789839267730713,0.027644872665405273
0.16051101684570312,0.5452659130096436,0.2165970802307129,0.0260465145111084
0.09987974166870117,0.4262685775756836,0.21606850624084473,0.03016066551208496
0.22154831886291504,0.46868085861206055,0.19915509223937988,0.029532670974731445
0.1060781478881836,0.44974279403686523,0.2367086410522461,0.030107975006103516
0.1746199131011963,0.47643566131591797,0.24146628379821777,0.03553318977355957
0.3587219715118408,0.5600028038024902,0.10015392303466797,0.02424764633178711
