----Server----,,,
Handshake,ZKP,Transfer Time,Encrypt Time
0.244425535202026,0.468605756759644,0.199187755584717,0.0205874443054199
0.0618345737457275,0.498733997344971,0.121278762817383,0.0205142498016357
0.0592803955078125,0.578718900680542,0.165132999420166,0.0343706607818604
0.156426429748535,0.412222862243652,0.122955799102783,0.0171530246734619
0.0621349811553955,0.416201591491699,0.122356414794922,0.0173132419586182
0.0559813976287842,0.275641679763794,0.160266876220703,0.0198047161102295
0.0544207096099854,0.306446313858032,0.115966558456421,0.0230515003204346
0.057016134262085,0.312405824661255,0.150010347366333,0.0213651657104492
0.0588798522949219,0.344764232635498,0.220936298370361,0.0260391235351563
0.0565304756164551,0.41696834564209,0.0645029544830322,0.0204129219055176
,,,
0.0866930484771729,0.403070950508118,0.144259476661682,0.0220612049102783
,,,
----Client----,,,
Handshake,ZKP,Transfer Time,Decrypt Time
0.274832248687744,0.768884181976318,0.299489498138428,0.0325081348419189
0.0689911842346191,0.555084705352783,0.160353183746338,0.0304605960845947
0.0985069274902344,0.674537181854248,0.282419681549072,0.0332133769989014
0.35448169708252,0.493233919143677,0.178983926773071,0.0276448726654053
0.160511016845703,0.545265913009644,0.216597080230713,0.0260465145111084
0.0998797416687012,0.426268577575684,0.216068506240845,0.030160665512085
0.221548318862915,0.468680858612061,0.19915509223938,0.0295326709747314
0.106078147888184,0.449742794036865,0.236708641052246,0.0301079750061035
0.174619913101196,0.476435661315918,0.241466283798218,0.0355331897735596
0.358721971511841,0.56000280380249,0.100153923034668,0.0242476463317871
,,,
0.191817116737366,0.541813659667969,0.213139581680298,0.0299455642700195
